drug_id,active_ingredient
0_train,DÉSOGESTREL
1_train,MONTÉLUKAST ACIDE
1_train, MONTÉLUKAST SODIQUE
2_train,CHLORHYDRATE DE DILTIAZEM
3_train,ACIDE VALPROÏQUE
3_train, VALPROATE DE SODIUM
4_train,LÉTROZOLE
5_train,FLUTAMIDE
6_train,BEXAROTÈNE
7_train,GLIMÉPIRIDE
8_train,MALÉATE D'ÉNALAPRIL
9_train,CEFPODOXIME PROXÉTIL
9_train, CEFPODOXIME
10_train,ESTRADIOL
10_train, ESTRADIOL HÉMIHYDRATÉ
11_train,FUMARATE DE FORMOTÉROL DIHYDRATÉ
11_train, BUDÉSONIDE
12_train,PRAVASTATINE SODIQUE
13_train,PÉRINDOPRIL TERT-BUTYLAMINE
13_train, PÉRINDOPRIL
13_train, INDAPAMIDE
14_train,TELMISARTAN
15_train,TRIHEXYPHÉNIDYLE (CHLORHYDRATE DE)
16_train,PHLOROGLUCINOL HYDRATÉ
17_train,ACICLOVIR
18_train,ZUCLOPENTHIXOL (DICHLORHYDRATE DE)
18_train, ZUCLOPENTHIXOL
19_train,CHLORHYDRATE DE TRAMADOL
20_train,HYDROCHLOROTHIAZIDE
20_train, CANDÉSARTAN CILEXÉTIL
21_train,LÉVOFLOXACINE HÉMIHYDRATÉE
21_train, LÉVOFLOXACINE
22_train,CHLORHYDRATE DE TRAMADOL
23_train,BROMAZÉPAM
24_train,OXALATE D'ESCITALOPRAM
24_train, ESCITALOPRAM
25_train,GLIMÉPIRIDE
26_train,FENTANYL
27_train,INDAPAMIDE HÉMIHYDRATÉ
28_train,OMÉPRAZOLE
29_train,PROGESTÉRONE
30_train,SULPIRIDE
31_train,LATANOPROST
32_train,RILMÉNIDINE (DIHYDROGÉNOPHOSPHATE DE)
32_train, RILMÉNIDINE
33_train,LOPÉRAMIDE BASE
33_train, CHLORHYDRATE DE LOPÉRAMIDE
34_train,HYDROCHLOROTHIAZIDE
34_train, MALÉATE D'ÉNALAPRIL
35_train,GUÊPE VESPILA (VENIN DE)
36_train,TRANDOLAPRIL
37_train,ZONISAMIDE
38_train,POLYMYXINE B (SULFATE DE)
38_train, DEXAMÉTHASONE (MÉTASULFOBENZOATE SODIQUE DE)
38_train, NÉOMYCINE (SULFATE DE)
39_train,THIOCOLCHICOSIDE
40_train,DOMPÉRIDONE
41_train,IRBÉSARTAN
41_train, HYDROCHLOROTHIAZIDE
42_train,CANDÉSARTAN CILEXÉTIL
43_train,OMÉPRAZOLE
44_train,NADROPARINE CALCIQUE 
45_train,PÉRINDOPRIL
45_train, BÉSILATE D'AMLODIPINE
45_train, AMLODIPINE
45_train, PÉRINDOPRIL ARGININE
46_train,LÉVOTHYROXINE SODIQUE
47_train,PRAMIPEXOLE BASE
47_train, DICHLORHYDRATE DE PRAMIPEXOLE MONOHYDRATÉ
48_train,RIBAVIRINE
49_train,ACÉTATE DE FLÉCAÏNIDE
50_train,RÉTIGABINE
51_train,CÉLÉCOXIB
52_train,IRBÉSARTAN
53_train,BÉTAMETHASONE (PHOSPHATE DE) ET DE DISODIUM
53_train, BÉTAMÉTHASONE
54_train,VALSARTAN
54_train, HYDROCHLOROTHIAZIDE
55_train,CHLORHYDRATE DE DONÉPÉZIL
56_train,CHLORHYDRATE DE TAMSULOSINE
56_train, TAMSULOSINE
57_train,RAMIPRIL
58_train,ÉSOMÉPRAZOLE
58_train, ÉSOMÉPRAZOLE MAGNÉSIQUE DIHYDRATÉ
59_train,GLIMÉPIRIDE
60_train,FLUTAMIDE
61_train,LISINOPRIL DIHYDRATÉ
61_train, LISINOPRIL ANHYDRE
62_train,CIPROFLOXACINE
62_train, CHLORHYDRATE DE CIPROFLOXACINE
63_train,LÉVODOPA
63_train, BENSÉRAZIDE BASE
63_train, BENSÉRAZIDE (CHLORHYDRATE DE)
64_train,DICHLORHYDRATE DE BÉTAHISTINE
65_train,BISOPROLOL (HÉMIFUMARATE DE)
66_train,TERBINAFINE
66_train, CHLORHYDRATE DE TERBINAFINE
67_train,MÉMANTINE BASE
67_train, CHLORHYDRATE DE MÉMANTINE
68_train,LÉVÉTIRACÉTAM
69_train,INSULINE HUMAINE RECOMBINANTE 
70_train,NITRATE D'ÉCONAZOLE
71_train,PARACÉTAMOL
72_train,PÉRINDOPRIL
72_train, PÉRINDOPRIL TERT-BUTYLAMINE
73_train,HYDROCHLOROTHIAZIDE
73_train, LOSARTAN POTASSIQUE
74_train,MÉQUITAZINE
75_train,CHLORHYDRATE DE DILTIAZEM
76_train,PARACÉTAMOL
77_train,FUMARATE DE BISOPROLOL
78_train,LATANOPROST
79_train,DARBÉPOÉTINE ALFA 
80_train,VALSARTAN
81_train,LOSARTAN POTASSIQUE
81_train, HYDROCHLOROTHIAZIDE
82_train,FOLLITROPINE BÊTA 
83_train,AMOXICILLINE ANHYDRE
83_train, AMOXICILLINE TRIHYDRATÉE
84_train,METFORMINE BASE
84_train, CHLORHYDRATE DE METFORMINE
85_train,ACÉTATE DE NOMÉGESTROL
86_train,RALOXIFÈNE BASE
86_train, CHLORHYDRATE DE RALOXIFÈNE
87_train,HYDROCHLOROTHIAZIDE
87_train, IRBÉSARTAN
88_train,ZOPICLONE
89_train,RÉPAGLINIDE
90_train,HYDROCHLOROTHIAZIDE
90_train, VALSARTAN
91_train,OMÉPRAZOLE
92_train,RISPÉRIDONE
93_train,RÉPAGLINIDE
94_train,GLICLAZIDE
95_train,ATORVASTATINE
95_train, ATORVASTATINE CALCIQUE
96_train,DICHLORHYDRATE DE CÉTIRIZINE
97_train,MITOMYCINE C
98_train,RISPÉRIDONE
99_train,CHLORHYDRATE DE BAMBUTÉROL
100_train,DONÉPÉZIL BASE
100_train, CHLORHYDRATE DE DONÉPÉZIL
101_train,CHLORHYDRATE DE GLUCAGON
102_train,HYDROCHLOROTHIAZIDE
102_train, FUMARATE DE BISOPROLOL
103_train,SIMVASTATINE
104_train,GLIMÉPIRIDE
105_train,PRAVASTATINE SODIQUE
106_train,NILUTAMIDE
107_train,ACÉTATE DE CYPROTÉRONE
108_train,NICORANDIL
109_train,INTERFÉRON BÊTA-1A 
110_train,GLUCOSE MONOHYDRATÉ
110_train, GLUCOSE ANHYDRE
111_train,AMOXICILLINE ANHYDRE
111_train, AMOXICILLINE TRIHYDRATÉE
112_train,SULPIRIDE
113_train,RÉSERPINE
113_train, BENDROFLUMÉTHIAZIDE
114_train,HYDROCHLOROTHIAZIDE
114_train, VALSARTAN
115_train,FLURBIPROFÈNE
116_train,CLOPIDOGREL (CHLORHYDRATE DE)
116_train, CLOPIDOGREL BASE
117_train,VALSARTAN
118_train,OMÉPRAZOLE
119_train,ZOLMITRIPTAN
120_train,VALSARTAN
121_train,ZOLMITRIPTAN
122_train,IMIPÉNEM MONOHYDRATÉ
122_train, IMIPÉNEM ANHYDRE
122_train, CILASTATINE ANHYDRE
122_train, CILASTATINE SODIQUE
123_train,DALTÉPARINE SODIQUE 
124_train,DONÉPÉZIL BASE
124_train, CHLORHYDRATE DE DONÉPÉZIL
125_train,TERBUTALINE (SULFATE DE)
126_train,OMÉPRAZOLE
127_train,PRAVASTATINE SODIQUE
128_train,PAROXÉTINE BASE
128_train, CHLORHYDRATE DE PAROXÉTINE HÉMIHYDRATÉ
129_train,PRAMIPEXOLE
129_train, DICHLORHYDRATE DE PRAMIPEXOLE MONOHYDRATÉ
130_train,CLOPIDOGREL BASE
130_train, CLOPIDOGREL (CHLORHYDRATE DE)
131_train,CAPTOPRIL
131_train, HYDROCHLOROTHIAZIDE
132_train,CANDÉSARTAN CILEXÉTIL
